V | I veicoli a due ruote, con motore termico fino a 50 cm3 di cilindrata e velocità massima di 45 km/h sono ciclomotori
V | I ciclomotori possono avere due o tre ruote
V | Non tutti i veicoli a motore a due ruote vengono classificati ciclomotori
V | I ciclomotori a due ruote non possono avere un motore termico di cilindrata superiore a 50 cm3
V | I ciclomotori sono soggetti a revisione dopo quattro anni dalla prima immatricolazione, successivamente ogni due anni
F | I ciclomotori non hanno più di due ruote
F | Le biciclette con pedalata assistita, dotate di motore elettrico ausiliario di potenza massima fino a 0,25 kW, sono definite ciclomotori
F | Si definiscono ciclomotori tutti i veicoli a due ruote di cilindrata superiore a 50 cm3
F | I ciclomotori, per essere definiti tali, devono essere muniti di cambio manuale
F | I ciclomotori possono circolare alla velocità di 60 km/h fuori dai centri urbani
F | I ciclomotori non sono soggetti a revisione periodica Motocicli
V | I motocicli sono veicoli a due ruote
V | I motocicli hanno cilindrata superiore a 50 cm3
V | I ciclomotori non rientrano nella categoria dei motocicli
V | I motocicli possono essere dotati di cambio automatico
V | I motocicli sono soggetti a revisione dopo quattro anni dalla prima immatricolazione, successivamente ogni due anni
F | Tutti i veicoli a motore con tre ruote sono dei motocicli
F | I motocicli sono veicoli a motore con più di due ruote
F | Il motociclo è un qualunque veicolo a due ruote
F | Si definiscono motocicli solo i veicoli a due ruote di cilindrata fino a 125 cm3
F | I motocicli hanno motore di cilindrata fino a 50 cm3 e sviluppano una velocità fino a 45 km/h
F | Ai fini della circolazione i quadricicli leggeri sono assimilati ai motocicli Tricicli a motore
V | I tricicli a motore sono veicoli a motore a tre ruote simmetriche
V | I tricicli a motore sono veicoli con motore di cilindrata superiore a 50 cm3
V | I tricicli a motore sono veicoli a motore aventi una velocità massima per costruzione superiore a 45 km/h
V | I tricicli a motore sono soggetti a revisione dopo quattro anni dalla prima immatricolazione, successivamente ogni due anni
F | I tricicli a motore sono veicoli a motore che possono essere condotti senza patente
F | I tricicli a motore sono costituiti da un motociclo e un sidecar
F | I tricicli a motore sono veicoli con motore di cilindrata inferiore a 50 cm3 e aventi velocità massima per costruzione fino a 45 km/h
F | I tricicli a motore non sono soggetti a revisione periodica 1 I VEICOLI Quadricicli a motore
V | I quadricicli leggeri alimentati a benzina hanno cilindrata del motore inferiore o pari a 50 cm3
V | I quadricicli sono veicoli a motore a quattro ruote
V | I quadricicli leggeri, ai fini della circolazione, sono assimilati ai ciclomotori
V | La potenza dei quadricicli non leggeri è sempre inferiore o uguale a 15 kW
V | I quadricicli sono soggetti a revisione periodica
F | I quadricicli diversi da quelli leggeri possono essere guidati senza patente
F | I quadricicli non leggeri, ai fini della circolazione, sono equiparati ai ciclomotori
F | È consentito sostituire il dispositivo di scarico dei quadricicli leggeri per aumentare la velocità massima, purché non si aumenti la cilindrata del motore
F | La guida dei quadricicli non leggeri è consentita già al compimento del quattordicesimo anno di età
F | I quadricicli non leggeri a manubrio e con carrozzeria aperta possono essere condotti senza casco
F | È consentito aumentare la cilindrata dei quadricicli leggeri purché non si aumenti la velocità
F | È consentito sostituire il motore del quadriciclo leggero per aumentare la velocità massima oltre i 45 km/h
